pos	id	title	duration_s	words	sentences	wps	backchannel_per_1k	speakers	verdict	provenance
117	Z8-oeMNQE_s	Norwest Townhouse vs House Prices	876	2661	344	7.7	24.1	multi	good	youtube-asr
118	jQb97Xmw3P8	Norwest Bike Ride	3193	7069	877	8.1	16.0	solo	good	youtube-asr
119	NvejiD5ngEM	Australian Magpie ATTACK!	141	315	85	3.7	73.0	multi	good	youtube-asr
120	XlEjL8tWM6U	The Youtube Aug10th View Drop Theory	627	1894	146	13.0	11.1	solo	good	youtube-asr
121	4oe6c2uaepM	Brymen BM787BT iPhone App Update	520	1500	176	8.5	12.7	solo	good	youtube-asr
122	aANZNwmnC_4	AERL Lithium Home Storage Battery - Cloud Data	642	2021	186	10.9	9.9	solo	good	youtube-asr
123	RjfStZa4Si8	AERL Battery Firmware Update	295	832	64	13.0	10.8	solo	good	youtube-asr
124	Ij6r6uXr2Mo	Flashing the eMMC on a Raspberry Pi CM4 Compute Module	505	1465	193	7.6	22.5	multi	good	youtube-asr
125	E1IqcGcZKHE	RPi CM4 Compute Module FAILURE Part 2: Thermal Boogaloo	967	2785	335	8.3	19.0	multi	good	youtube-asr
126	fpDnVSKfhew	Raspberry Pi Compute Module CM4 FAILURE	749	2419	225	10.8	15.3	solo	good	youtube-asr
127	IXVTMUQGN5U	Goal Zero Yeti 400 Lithium Battery Capacity Test #2	381	1245	118	10.6	20.9	multi	good	youtube-asr
128	lYKjScnkeq0	Goal Zero Yeti 400 Lithium Battery: Capacity Test	936	2725	257	10.6	10.6	solo	good	youtube-asr
129	cPuMgh-BElU	Davinci Resolve 20: Automatic Silence Removal Tested	743	2250	263	8.6	18.7	multi	good	youtube-asr
130	-ir61ARd5T4	WTF is Wrong with my Rigol DL3021 Electronic Load?	491	1417	123	11.5	20.5	multi	good	youtube-asr
131	8P8Af5SR57U	Goal Zero Yeti 400 Lithium Battery Follow--up	252	748	56	13.4	14.7	solo	good	youtube-asr
132	lXvXBdTP7Tg	Haasoscope Pro - An Oscilloscope Space Oddity	575	1556	242	6.4	33.4	multi	good	youtube-asr
133	lx8VlHM1cFI	Wireless Mic Comparison - Sennheiser, Rode, DJI	368	1204	95	12.7	5.0	solo	good	youtube-asr
134	ZdDGMFEFJ6o	SpaceX Starship Flight 10 Highlights	2199	6635	861	7.7	21.3	multi	good	youtube-asr
135	h9V0qJ4p3Aw	"2010 Nissan Dualis Power Window ""REPAIR"""	822	2297	296	7.8	27.9	multi	good	youtube-asr
136	GHHNMER1G7k	Bodged Stand-up Desk	40	111	11	10.1	9.0	solo	good	youtube-asr
137	KUj23HOAzEU	The State of The Dumpster Room	37	94	15	6.3	31.9	multi	good	youtube-asr
138	7dCECaecMzE	Aputure Amaran 60X-S Studio Light 60W COB LED under the Microscope	479	1458	133	11.0	10.3	solo	good	youtube-asr
139	pRJjkeG_Pec	Feet Fetish: Tin Collection Sorting	5206	10895	1878	5.8	33.9	multi	good	youtube-asr
140	dYAahastj04	Dumpster Instrument Cart REPAIRED	121	315	31	10.2	25.4	multi	good	youtube-asr
141	VFCzTaEagHo	Dumpster Diving Instrument Tool Cart	173	471	65	7.2	19.1	multi	good	youtube-asr
142	8MC93KxPTHA	Dumpster Diving Fire Resistant Safe	810	2308	217	10.6	12.6	solo	good	youtube-asr
143	WW_-Clzs2Bo	Dungeon Benches and Lighting	200	608	57	10.7	14.8	solo	good	youtube-asr
144	OouUyaUR250	Deye Hybrid Inverter Grid Failure	171	446	42	10.6	13.5	solo	good	youtube-asr
145	QUSlDocGN9w	Dumpster Diving Workbench	124	338	33	10.2	14.8	solo	good	youtube-asr
146	tkRwHWMf0Gk	I Found the ANNOYING BEEP in my Lab!	271	826	71	11.6	16.9	solo	good	youtube-asr
147	-zTv5EzShgM	Sendle Have LOST 18 Packages	1080	3338	225	14.8	10.5	solo	good	youtube-asr
148	67qsHqfd5Cw	DUMPSTER DIVING: Samsung 4K TV	231	591	74	8.0	3.4	solo	good	youtube-asr
149	Ia0JqFqqh90	Walking with Llama's	76	71	16	4.4	14.1	solo	good	youtube-asr
150	0JM9enfOHgM	2020 Hyundai IONIQ AC Charge Problem FIXED	328	990	69	14.3	16.2	solo	good	youtube-asr
151	5rZk8mNvYUc	2020 Hyundai IONIQ AC Charger FAIL?	265	737	52	14.2	9.5	solo	good	youtube-asr
152	wSdkpx4BjzY	BM787BT Apple Shoe Phone Test	288	836	117	7.1	23.9	multi	good	youtube-asr
153	c0evM3-GTAw	Weird Uni-T UDP6731 PSU Fault FIXED. I got a DUD?	537	1616	137	11.8	7.4	solo	good	youtube-asr
154	kEjxicaKrv0	Dumpster Diving APC UPS	171	469	57	8.2	10.7	solo	good	youtube-asr
155	6M-xXEn1_iI	FAILED PROJECT IDEA - 53131A Mod Board	747	2196	154	14.3	6.4	solo	good	youtube-asr
156	3trzaw6P3A8	Installing OPNsense. Same stupid ACPI error.	142	361	52	6.9	24.9	multi	good	youtube-asr
157	xkeJ7vXme2o	Laugh as Dave FAILS to Install pfSense	667	1820	279	6.5	25.3	multi	good	youtube-asr
158	HctGMxWPWRE	Deye Hybrid Inverter Time Sync Issue UPDATE + Battery News	400	1210	97	12.5	16.5	solo	good	youtube-asr
159	0Uk1QLR1_TA	Today in the dumpster	46	115	18	6.4	34.8	multi	good	youtube-asr
160	29ze0-rP96I	Project Hail Mary Trailer Reaction + Analysis	1902	5495	778	7.1	43.3	multi	good	youtube-asr
161	VQB-ArMmNU0	Leaking/Running Toilet Flush Valve Repair	341	1060	80	13.2	7.5	solo	good	youtube-asr
162	uI62sAN5JzU	The Mysterious Buga Sphere Transmits LF Waves! (Alien Origin?)	399	1114	144	7.7	3.6	solo	good	youtube-asr
163	1ZggBzHxgwA	PRO TIP: How to re-screw screws into plastic (Fluke Multimeters)	59	190	14	13.6	10.5	solo	good	youtube-asr
164	4vY5-obAx6w	Deye Hybrid Solar Inverter RTC FAIL!	474	1411	113	12.5	9.9	solo	good	youtube-asr
165	D2PANd9Hu3U	Zotek/Zoyi Test Equipment MAILBAG BONANZA UNBOXING!	2153	5991	895	6.7	26.2	multi	good	youtube-asr
166	GnUiB8Zh4FE	They Just Increased My Lab Electricity Rates	678	2126	203	10.5	14.1	solo	good	youtube-asr
167	ND_yXGwfkb8	Old Parliament House ABC News Room Tour	262	664	81	8.2	6.0	solo	good	youtube-asr
168	0eL_byioeqQ	If it's worth doing, it's worth over doing. Lemon Battery	58	137	14	9.8	7.3	solo	good	youtube-asr
169	IGShMGCoK9s	Dumpster Diving: Today in the Dumpster Room!	88	195	25	7.8	10.3	solo	good	youtube-asr
170	wjMIsM4sDw8	Unboxing WOW! The coolest bit of kit in my lab.	1541	3987	451	8.8	18.1	multi	good	youtube-asr
171	4DTQ-syeapc	Whiteboard FAIL 2 - Electric Boogaloo	36	51	11	4.6	0.0	solo	good	youtube-asr
172	E0Iz7HscYTQ	Electroboom Style ELCB Test & (Hager) Failure	293	825	92	9.0	24.2	multi	good	youtube-asr
173	95jpp3txM0o	Using an Oscilloscope on an Apple Vision Pro	536	1653	355	4.7	79.2	multi	good	youtube-asr
174	U_gmDUL-t0o	Commercial Real Estate Office TOUR - 96sqm?	843	2702	190	14.2	14.4	solo	good	youtube-asr
175	Rirx97wrAeQ	Lenovo Legion 5 Laptop M.2 - Part 2 Electric Boogaloo	156	400	60	6.7	22.5	multi	good	youtube-asr
176	zNG_oNhKCBg	Lenovo Legion 5 Laptop M.2 SSD Memory	495	1481	157	9.4	23.6	multi	good	youtube-asr
177	RuIBgQP5tAQ	Rohde & Schwarz RTB2004 Oscilloscope Slow Timebase Trigger is Cool	368	1174	84	14.0	19.6	multi	good	youtube-asr
178	ruxzp0OMicg	Brymen BM787BT Bluetooth App First Impressions	960	2438	381	6.4	38.6	multi	good	youtube-asr
179	_yuhitexdyM	Engineering Brain Farts (BM787BT)	777	1877	191	9.8	16.5	solo	good	youtube-asr
180	cziiWo6Uh5M	$5000 Uni-T UTG9504T 500MHz Function Generator Partial Review (The Lost Tapes)	641	1976	2	988.0	0.0	solo	needs-whisper	whisper-large-v3
181	ZlDf1d18Kag	Another Horror Alkaline Battery Leakage Teardown. RIP Magellen GPS	740	1855	227	8.2	21.6	multi	good	youtube-asr
182	ZqrPCed1ss8	BM235 Display Lag/Pause Testing	211	620	48	12.9	11.3	solo	good	youtube-asr
183	krx-8dFagwA	Australian Rental Stress? What is it like in Sydney?	1315	3762	352	10.7	15.7	solo	good	youtube-asr
184	uE0x8YR7nMg	Enphase Envoy S FAILING?	584	1547	157	9.9	12.3	solo	good	youtube-asr
185	zh2nN1xlaco	"XPeng X2 ""Flying Car"""	138	358	0	358.0	0.0	solo	needs-whisper	whisper-large-v3
186	Qy1IWJcwwSc	Home Assistant Install 2 - Electric Boogaloo	519	1412	136	10.4	15.6	solo	good	youtube-asr
187	sCPfEPSDh40	How Badly Can I Screw Up a Home Assistant Install?	526	1400	0	1400.0	0.0	solo	needs-whisper	whisper-large-v3
188	isnXYy9vCag	Enphase Microinverter FAIL?	548	1543	161	9.6	16.9	solo	good	youtube-asr
189	DJgWhNlHHIs	Schrodinger's 121GW Multimeter	361	935	108	8.7	17.1	solo	good	youtube-asr
190	wh9zN5BCtEY	2025 True Grit OCR Obstacle Course Adventure Race - Sydney	1815	2758	533	5.2	21.8	multi	good	youtube-asr
191	LAbWsqS51Tk	When you REALLY don't want to pay for a Double Sided PCB	102	289	0	289.0	0.0	solo	needs-whisper	whisper-large-v3
192	tZPxTIuQawg	PLEASE Youtube, get rid of the P0rn Spam Bots	221	663	0	663.0	0.0	solo	needs-whisper	whisper-large-v3
193	uDzj3xdqi7Y	JBL Wave Flex Earbuds REPAIR	582	1672	2	836.0	0.0	solo	needs-whisper	whisper-large-v3
194	puGooNKVE74	Hoymiles Solar Microinverter FAIL	246	690	0	690.0	0.0	solo	needs-whisper	whisper-large-v3
195	GFlckdPzYQQ	Deye Solar Inverter Screen FAIL + Hoymiles Microinverter Input	169	461	0	461.0	0.0	solo	needs-whisper	whisper-large-v3
196	PSdF0KNsiaY	BM786 Continuity Firmware Testing	248	609	6	101.5	0.0	solo	needs-whisper	whisper-large-v3
197	lDQdA4Ml5GA	What do I sound like with my pitch lowered?	613	1976	149	13.3	13.2	solo	good	youtube-asr
198	IXcKT8F5quU	Canyoning: Grand Canyon, Blackheath, Australia	1252	2189	1	2189.0	0.0	solo	needs-whisper	whisper-large-v3
199	EcdjlD2rbuw	HORRIFIC 4K Alkaline Battery Leakage :-(	95	158	0	158.0	0.0	solo	needs-whisper	whisper-large-v3
200	rT0g1QmKE5E	Brymen BM2257 MOV Leakage Testing	491	1330	118	11.3	6.0	solo	good	youtube-asr
201	9O-fyw8CyIY	Dumpster Diving Monitors vs Chair	123	310	39	7.9	6.5	solo	good	youtube-asr
202	LsmUMC_cZSw	Checking out a new Office Building	440	899	0	899.0	0.0	solo	needs-whisper	whisper-large-v3
203	Q77_ZFb7NlA	WHY is the Ronald Reagan Washington Airport A THING? (AA5342 Accident)	572	1629	0	1629.0	0.0	solo	needs-whisper	whisper-large-v3
204	DvFBnB2ws6c	Getting ChatGPT AI to Code a Youtube Video Uploader - Part 1	1383	4099	9	455.4	0.0	solo	needs-whisper	whisper-large-v3
205	BuFoA-qt1PY	Brymen BM2257 Intelligent Auto Power Off (iAPO) tested	322	851	1	851.0	0.0	solo	needs-whisper	whisper-large-v3
206	b9K0YoPBGek	Why Isn't My Electricity Bill Zero with a Home Battery?	435	1375	8	171.9	0.0	solo	needs-whisper	whisper-large-v3
207	jMYxxECGNIo	Geometrical Inc Pocket Tripod PROv2 REVIEW	384	1194	2	597.0	0.0	solo	needs-whisper	whisper-large-v3
208	d9nmhNlTkp8	20+ Year Old Geocache Containers	502	1335	0	1335.0	0.0	solo	needs-whisper	whisper-large-v3
209	8JSrq8viXoo	Treetops Obstacle & Zip Line Course - The Big Pineapple	1295	2668	2	1334.0	0.0	solo	needs-whisper	whisper-large-v3
210	p3Yr0eX-1nY	Dumpster Diving HP Intel i7 SFF	318	974	1	974.0	0.0	solo	needs-whisper	whisper-large-v3
211	C0mOtAQRLU4	SpaceX Starship 7th Flight Booster CATCH Live Reaction	1017	2565	355	7.2	18.7	multi	good	youtube-asr
212	wTXMd6VNCP4	Noosa Everglades River Trip POV - Relaxation	2608	0	0	0	0.0	unknown	no-captions	whisper-large-v3
213	rLPcMmVcEkQ	Bike Ride POV - Casuarina to Hastings Point	2719	4691	2	2345.5	0.0	solo	needs-whisper	whisper-large-v3
214	FUmasc-tZZg	Bike Ride POV - Casuarina to Kingscliff	2167	3482	1	3482.0	0.0	solo	needs-whisper	whisper-large-v3
215	1Icx9X7XUgM	Was I Apprehensive Appearing in my  First Video?	945	2936	0	2936.0	0.0	solo	needs-whisper	whisper-large-v3
216	n8C8N9PVpns	Eating a Classic Aussie Sausage Roll	362	485	0	485.0	0.0	solo	needs-whisper	whisper-large-v3
217	odKBpmSVlAs	Whiteboard FAIL	107	99	0	99.0	0.0	solo	needs-whisper	whisper-large-v3
218	44Go5aDnrQc	Playing with the World's DUMBEST Crypto SCAMMER!	2162	6626	1	6626.0	0.0	solo	needs-whisper	whisper-large-v3
219	FMluev0WGTc	World's Quickest Repair	307	799	1	799.0	0.0	solo	needs-whisper	whisper-large-v3
220	Cn3DVQGmF9A	Dyson Battery Failure	687	1920	11	174.5	0.0	solo	needs-whisper	whisper-large-v3
221	ea-i2DG_9FE	Auto German Female AI Dave. And Annotations Are Back?	514	1350	0	1350.0	0.0	solo	needs-whisper	whisper-large-v3
222	UHtdloKruzo	EEVblog 1654 - Lee Felsenstein -	10687	26617	3	8872.3	0.0	solo	needs-whisper	whisper-large-v3
223	71ql0rh7imU	"Dumpster Diving 75"" Samsung 4K TV!"	319	828	0	828.0	0.0	solo	needs-whisper	whisper-large-v3
224	uOOGXORqsqQ	Trezor Safe 5 Bitcoin Crypo Hardware Wallet	977	2935	3	978.3	0.0	solo	needs-whisper	whisper-large-v3
225	5xXH99h0do0	Lee Felsenstein - The Osborne 1: Setting New Standards in Adequacy	84	196	0	196.0	0.0	solo	needs-whisper	whisper-large-v3
226	FLB4Xvt9Szc	Lee Felsenstein - The Apple 1 was NOT a Personal Computer	1101	2747	0	2747.0	0.0	solo	needs-whisper	whisper-large-v3
227	Af2jR1PqXh0	The VHS Videocassette Recorder was developed for Cold War Spy Drones!	127	320	0	320.0	0.0	solo	needs-whisper	whisper-large-v3
228	S0h3dl20Ms0	Lee Felsenstein Talks About The First Ever Hackathons in the early 1970's!	142	348	0	348.0	0.0	solo	needs-whisper	whisper-large-v3
229	9lIC3ZzIht4	Junk box Digital Panel Meter Analysis CX101	1207	3659	2	1829.5	0.0	solo	needs-whisper	whisper-large-v3
230	b7t20v9Pu6o	(Fitness) Goals are for Losers	406	1254	129	9.7	12.8	solo	good	youtube-asr
231	msfucUFVnXY	eevREACTS - European Electrical Switchboard Wiring	509	1334	0	1334.0	0.0	solo	needs-whisper	whisper-large-v3
232	XyMQPUw-oaU	Latest Norwest Commercial & Residential Building Wankery	1214	3743	0	3743.0	0.0	solo	needs-whisper	whisper-large-v3
233	7WbO1lnsLC8	Some Interesting Home Solar Data	430	1271	4	317.8	0.0	solo	needs-whisper	whisper-large-v3
234	ZBVyJaLAZDY	Scanning Vintage Computer Service Manuals - Tandy 1100FD Laptop Computer	1148	3481	0	3481.0	0.0	solo	needs-whisper	whisper-large-v3
235	JsOMq35Z6L4	Home Electrical Switchboard Upgrade - Time Lapse 2	85	3	0	3.0	0.0	solo	needs-whisper	whisper-large-v3
236	r4RCEMtHvgo	Home Electrical Switchboard Upgrade - Time Lapse 1	171	13	0	13.0	0.0	solo	needs-whisper	whisper-large-v3
237	_GThm9RX_YM	Just soldering a DIP header onto a Raspberry Pi Compute Module	711	1671	0	1671.0	0.0	solo	needs-whisper	whisper-large-v3
238	cJ0MQKGGi7s	For All Mankind - Technology Timeline Errors	452	1332	1	1332.0	0.0	solo	needs-whisper	whisper-large-v3
239	K1vt6t0P81g	Passive Home Heat Recovery & Ventilation System	751	2217	190	11.7	14.0	solo	good	youtube-asr
240	uC-q-FjXEsA	1980s EEVblog Pocket Multimeter Overload Testing	217	508	0	508.0	0.0	solo	needs-whisper	whisper-large-v3
241	IhW5ZJ3mJEU	Sydney Real Estate - $2.3M in Mount Druitt!	1070	3360	10	336.0	0.0	solo	needs-whisper	whisper-large-v3
242	_E5fs8fiKE0	Rouute - Road Based Energy! How's it Going?	116	267	0	267.0	0.0	solo	needs-whisper	whisper-large-v3
243	5vbg8QEZXfY	iFixit FixHub Soldering Iron Review EXPLAINED + More Testing	1557	4807	319	15.1	11.4	solo	good	youtube-asr
244	-6w-t-UZtmY	Charging Cable on 2020 IONIQ EV STUCK!	177	476	2	238.0	0.0	solo	needs-whisper	whisper-large-v3
245	cxv90_4n1IE	Starship 5 Launch, CATCH!, + Starship Landing REACTION HIGHLIGHTS	1351	3216	472	6.8	26.7	multi	good	youtube-asr
246	DX_f0Cg6pHo	How a 4-20mA Process Control Current Loop Rotational Sensor Works	710	2176	141	15.4	4.1	solo	good	youtube-asr
247	t9o1xhAHREE	Camping	261	594	70	8.5	20.2	multi	good	youtube-asr
248	XR9RBqgUAZY	Just a Campfire	383	0	0	0	0.0	unknown	no-captions	whisper-large-v3
249	cc_GqtBuP4c	Hyundai IONIQ Keyfob Teardown + Battery Replacement	679	1578	199	7.9	27.2	multi	good	youtube-asr
250	WFhk1aRqLD8	AllPowers R1500 1500W 1150Wh LiFeP04 Battery Teardown + Review	1583	4696	438	10.7	13.6	solo	good	youtube-asr
251	_wZBr67hUIg	Deye Inverter Emergency Power Outlet	227	615	0	615.0	0.0	solo	needs-whisper	whisper-large-v3
252	_nzI6Ai_KIg	Dodgy Smart Meter - Part 2 Electric Boogaloo	414	1243	5	248.6	0.0	solo	needs-whisper	whisper-large-v3
253	ahoxDw0J2T8	Vintage Beckman Panaplex Planar Neon Display	384	971	1	971.0	0.0	solo	needs-whisper	whisper-large-v3
254	llT3z2-oB60	Timex vs Citizen - Watch Shootout	423	1285	127	10.1	12.5	solo	good	youtube-asr
255	dNS0jP-vbAk	The Keysight Logo is Not A Thing	63	146	0	146.0	0.0	solo	needs-whisper	whisper-large-v3
256	lndRXed2ylk	AGL Energy Smart Meter DODGY?	589	1731	13	133.2	0.0	solo	needs-whisper	whisper-large-v3
257	I5FRLRejKSE	The Home Gym	266	806	0	806.0	0.0	solo	needs-whisper	whisper-large-v3
258	X83SPqsf5kY	Smart Meter Installed!	335	1002	80	12.5	12.0	solo	good	youtube-asr
259	iztOfT0CX1k	IMPRESSIVE Winter Solar Generation!	312	935	4	233.8	0.0	solo	needs-whisper	whisper-large-v3
260	vDtxmikcYuc	Who Screwed With The Solar Analytics Code?	183	488	2	244.0	0.0	solo	needs-whisper	whisper-large-v3
261	_hUrp6wZgbk	What's up with my Siglent Calibration?	177	451	0	451.0	0.0	solo	needs-whisper	whisper-large-v3
262	kCtGoymiShU	Deye Hybrid Inverter Gen Port Troubleshooting	339	961	3	320.3	0.0	solo	needs-whisper	whisper-large-v3
263	NEc7_QSMfq4	My Silverbrook Research Interview Story	441	1314	0	1314.0	0.0	solo	needs-whisper	whisper-large-v3
264	VjydkHmKEY0	My Crazy Altium Employment Contract Story!	301	833	0	833.0	0.0	solo	needs-whisper	whisper-large-v3
265	BXVgk-uoxn8	Hoymiles Solar Microinverter Install + Deye Gen Connection	981	2968	214	13.9	15.2	solo	good	youtube-asr
266	fM4bbKVw2og	Uni-T 500MHz 4CH ARB Signal Generator Unboxing	1681	3933	2	1966.5	0.0	solo	needs-whisper	whisper-large-v3
267	mW-1FMGpsFg	UNSW Talk - Part 2 - Job Tip, What I hated about university EE, Contracting + more	1199	4144	410	10.1	24.6	multi	good	youtube-asr
268	rVYwJrPNRfc	AI Explained by Dr Stephen Falken - Computer Enhanced Hallucination - War Games	8	16	0	16.0	0.0	solo	needs-whisper	whisper-large-v3
269	riBwRC_CaAA	UNSW Talk - How I Became The EEVblog Guy	1601	5266	546	9.6	23.0	multi	good	youtube-asr
270	NhKLy8RllP0	Commercial Storage Units cost WHAT now?	656	1817	9	201.9	0.0	solo	needs-whisper	whisper-large-v3
271	vNKcRs3zDBI	We're Gonna Need a Bigger Solar Battery...	855	2647	3	882.3	0.0	solo	needs-whisper	whisper-large-v3
272	eldXifbNm2A	Talk with Peter Watkinson from AERL about LFP Battery Storage	1405	4472	2	2236.0	0.0	solo	needs-whisper	whisper-large-v3
273	gAu8CvMjDrU	15kWh AERL LFP Home Storage Battery - First Analysis	1923	6186	407	15.2	8.1	solo	good	youtube-asr
274	7vKt5BR35JU	LOL at my 1hr long video edit! And a challenge...	578	1871	1	1871.0	0.0	solo	needs-whisper	whisper-large-v3
275	V9RFPfRnCbA	New Home Solar Installation Drone Shot	35	6	0	6.0	0.0	solo	needs-whisper	whisper-large-v3
276	3xfeImx38MY	Solar Power Install FAIL #3 !	157	373	0	373.0	0.0	solo	needs-whisper	whisper-large-v3
277	eHCzTC9lku8	The DOWNSIDE of my Home Solar Storage Battery	591	1758	3	586.0	0.0	solo	needs-whisper	whisper-large-v3
278	LbqnHtNPt9Y	Siglent Oscilloscope - Function Gen USB Connection Test	466	1467	105	14.0	7.5	solo	good	youtube-asr
279	Uq553ckJ0uQ	MURPHY! - Reclaim Hot Water Heat Pump FAIL	296	880	6	146.7	0.0	solo	needs-whisper	whisper-large-v3
280	T2yNMQM_TEA	Deye Hybrid Solar Inverter Mains Dropout Test	382	1145	108	10.6	18.3	multi	good	youtube-asr
281	I7wMkLJgnko	Home Solar Power System Re-install is now completely working!	572	1720	149	11.5	21.5	multi	good	youtube-asr
282	sJS2paVW-kc	Renewable Energy vs Fossil Fuels Presentation	1830	5307	0	5307.0	0.0	solo	needs-whisper	whisper-large-v3
283	O5RjzeEBGAE	2021-08-20 Sagan Lego Technic Build for School	627	1519	1	1519.0	0.0	solo	needs-whisper	whisper-large-v3
284	1JgdM0GsCjk	Sunny Boy Solar Inverter Removal	350	938	131	7.2	17.1	solo	good	youtube-asr
285	5x8UVZnwyL8	New Enphase Solar Power System - 1st Day	638	2114	16	132.1	0.0	solo	needs-whisper	whisper-large-v3
286	oVkrc3gF7ns	Conducted Mode EMC Emissions Demo	303	812	0	812.0	0.0	solo	needs-whisper	whisper-large-v3
287	7fyKsEK1RZk	Electronex 2024 Walkthrough - The Grubby Lens Edition	533	0	0	0	0.0	unknown	no-captions	whisper-large-v3
288	Jp-7D3YBIEA	Electronex 2024 Walkthrough	531	0	0	0	0.0	unknown	no-captions	whisper-large-v3
289	Y7t6BIhBZhc	High Frequency Active FET Probing DEMONSTRATED	1265	4002	9	444.7	0.0	solo	needs-whisper	whisper-large-v3
290	UE_srZZdPjM	Radiacode 103 Gamma Ray Spectrometer	810	2375	194	12.2	10.1	solo	good	youtube-asr
291	_JXKiPl8zKo	Starship 4 Test Flight - Highlights	1426	3428	1	3428.0	0.0	solo	needs-whisper	whisper-large-v3
292	dZ6lOuk2YHo	Dumpster Diving Guitar Amplifier	239	601	83	7.2	15.0	solo	good	youtube-asr
293	Cwq2HAI0RGM	Cheapest House In Sydney? 2024 Edition	1012	2938	4	734.5	0.0	solo	needs-whisper	whisper-large-v3
294	Ia4xB9wk80o	"Dumpster Diving 86"" LG 4K LCD TV"	800	2115	254	8.3	16.5	solo	good	youtube-asr
295	5mueaTsus8o	Wall Wash LED Strip Measurement - Part 2	172	434	8	54.2	0.0	solo	needs-whisper	whisper-large-v3
296	yi5pb_l8U94	Weller Zero Smoke EL Fume Extractor - Part 2	396	1081	98	11.0	18.5	multi	good	youtube-asr
297	NLwgFYt1pjA	Dumpster HP ProOne 400 PC Touch Screen	333	820	81	10.1	13.4	solo	good	youtube-asr
298	TQcV3ftPLgA	Matrix PSU Unboxings & Teardown	1682	4162	526	7.9	23.3	multi	good	youtube-asr
299	YkgCcYG29nk	Siglent SDS1000X HD Display Update Rate + Web Interface	586	1755	121	14.5	10.3	solo	good	youtube-asr
300	CwHr7hcbtBo	Salute to the SMA Sunny Boy Solar Inverter	271	811	0	811.0	0.0	solo	needs-whisper	whisper-large-v3
301	tOJk-fsRfRc	Norwest Google Maps Time Capsule	940	3183	2	1591.5	0.0	solo	needs-whisper	whisper-large-v3
302	I-9dGvk3BW8	TP-Link AX6000 Router Teardown	485	1532	3	510.7	0.0	solo	needs-whisper	whisper-large-v3
303	KzC12xtHuXo	Just Soldering an SMD Adapter	324	757	72	10.5	6.6	solo	good	youtube-asr
304	vmPlHmJ1HWY	Bike Tyre Replacement	700	1756	1	1756.0	0.0	solo	needs-whisper	whisper-large-v3
305	taKKSSi0Td8	Synology NAS FAIL Adventure	784	2601	5	520.2	0.0	solo	needs-whisper	whisper-large-v3
306	UUkv6tJW2SE	Raw Challenge 2024 - Doyalson	391	1121	4	280.2	0.0	solo	needs-whisper	whisper-large-v3
307	8AsaFrsGhuc	Burg Wachter PointSafe P1E Teardown	809	2551	169	15.1	17.2	solo	good	youtube-asr
308	sqB-PnvQfO4	"Samsung Galaxy Tab A 10.1"" - REPAIR (Part 2 of 2)"	902	2459	243	10.1	17.1	solo	good	youtube-asr
309	0Wb0LINHF8s	Ghostbusters Frozen Empire - Review (Spoiler Free)	1078	3603	0	3603.0	0.0	solo	needs-whisper	whisper-large-v3
310	UJ6JG4eV0nY	BM036 Clamp Meter Magnetisation Test	601	1707	140	12.2	31.0	multi	good	youtube-asr
311	Yk_T-uCbg10	Returned BM036 Clamp Meter Investigation	750	1909	197	9.7	17.8	solo	good	youtube-asr
312	o4S-TkTuHZs	Samsung Galaxy Tab A Troubleshooting	623	1504	161	9.3	26.6	multi	good	youtube-asr
313	UEQyyQ1TE20	SpaceX Starship Reentry Reaction	244	471	0	471.0	0.0	solo	needs-whisper	whisper-large-v3
314	u7sVGnrf0P0	JBL Charge 3 Repair - Part 2	380	1020	0	1020.0	0.0	solo	needs-whisper	whisper-large-v3
315	xC8zbL79-EM	Nissan Dualis ABS Modulator Failure Update	252	680	58	11.7	2.9	solo	good	youtube-asr
316	JUl4BIB3wG0	Nissan Dualis ABS Modulator FAIL	111	322	0	322.0	0.0	solo	needs-whisper	whisper-large-v3
317	Zzj2beIYmRw	CH7 Sydney 300W NEC TV Transmitter Teardown	209	604	53	11.4	1.7	solo	good	youtube-asr
318	4YQQ7oaRzM4	Enphase Microinverters Temporary Removal	87	217	19	11.4	13.8	solo	good	youtube-asr
319	kU7zSSuy9WQ	How to ID a Mystery Microcontroller	1388	4006	341	11.7	23.5	multi	good	youtube-asr
320	5oMYiFE-E6s	Madimack i60 Pool Robot Time lapse - Floor Only	318	0	0	0	0.0	unknown	no-captions	whisper-large-v3
321	hFJndAkUS50	Madimack i60 Time Lapse Pool Cleaner - NEW Unit! Raw Footage TEST 1	264	26	0	26.0	0.0	solo	needs-whisper	whisper-large-v3
322	wnq4SWX-Fjo	Ghostbusters Frozen Empire Trailer 2 REACTION	1054	2489	0	2489.0	0.0	solo	needs-whisper	whisper-large-v3
323	CRowJp8FAFc	Dumpster CPU Upgrade on Shipping PC	777	2023	1	2023.0	0.0	solo	needs-whisper	whisper-large-v3
324	Ua985gqzn78	Madimack i60 Time Lapse Pool Cleaner - Raw Footage TEST 4	315	0	0	0	0.0	unknown	no-captions	whisper-large-v3
325	2L7UeInkkOs	He's Dead Jim	305	747	4	186.8	0.0	solo	needs-whisper	whisper-large-v3
326	FORiUWhKsQ8	Madimack i60 Time Lapse Pool Cleaner - Raw Footage TEST 3	320	0	0	0	0.0	unknown	no-captions	whisper-large-v3
327	OZrR1ikz9Js	Madimack i60 Time Lapse Pool Cleaner - Raw Footage TEST 2	152	0	0	0	0.0	unknown	no-captions	whisper-large-v3
